Reference,LatD, LatM, LatS,NS,LonD,LonM,LonS,EW,City,State
320,41,5,59,N,80,39,0,W,Youngstown, OH
321,42,52,48,N,97,23,23,W,Yankton, SD
322,46,35,59,N,120,30,36,W,Yakima, WA
323,42,16,12,N,71,48,0,W,Worcester, MA
324,43,37,48,N,89,46,11,W,Wisconsin Dells, WI
325,36,5,59,N,80,15,0,W,Winston-Salem, NC
326,49,52,48,N,97,9,0,W,Winnipeg, MB
327,39,11,23,N,78,9,36,W,Winchester, VA
328,34,14,24,N,77,55,11,W,Wilmington, NC
329,39,45,0,N,75,33,0,W,Wilmington, DE
330,48,9,0,N,103,37,12,W,Williston, ND
331,41,15,0,N,77,0,0,W,Williamsport, PA
332,37,40,48,N,82,16,47,W,Williamson, WV
333,33,54,0,N,98,29,23,W,Wichita Falls, TX
334,37,41,23,N,97,20,23,W,Wichita, KS
335,40,4,11,N,80,43,12,W,Wheeling, WV
336,26,43,11,N,80,3,0,W,West Palm Beach, FL
337,47,25,11,N,120,19,11,W,Wenatchee, WA
338,41,25,11,N,122,23,23,W,Weed, CA
339,31,13,11,N,82,20,59,W,Waycross, GA
340,44,57,35,N,89,38,23,W,Wausau, WI
341,42,21,36,N,87,49,48,W,Waukegan, IL
342,44,54,0,N,97,6,36,W,Watertown, SD
343,43,58,47,N,75,55,11,W,Watertown, NY
344,42,30,0,N,92,20,23,W,Waterloo, IA
345,41,32,59,N,73,3,0,W,Waterbury, CT
346,38,53,23,N,77,1,47,W,Washington, DC
347,41,50,59,N,79,8,23,W,Warren, PA
348,46,4,11,N,118,19,48,W,Walla Walla, WA
349,31,32,59,N,97,8,23,W,Waco, TX
350,38,40,48,N,87,31,47,W,Vincennes, IN
351,28,48,35,N,97,0,36,W,Victoria, TX
352,32,20,59,N,90,52,47,W,Vicksburg, MS
353,49,16,12,N,123,7,12,W,Vancouver, BC
354,46,55,11,N,98,0,36,W,Valley City, ND
355,30,49,47,N,83,16,47,W,Valdosta, GA
356,43,6,36,N,75,13,48,W,Utica, NY
357,39,54,0,N,79,43,48,W,Uniontown, PA
358,32,20,59,N,95,18,0,W,Tyler, TX
359,42,33,36,N,114,28,12,W,Twin Falls, ID
360,33,12,35,N,87,34,11,W,Tuscaloosa, AL
361,34,15,35,N,88,42,35,W,Tupelo, MS
